,frame_index,car_id,car_type,speed
1106,405,44,car,720.0
1107,406,44,car,760.0
1108,407,44,car,780.0
1109,408,43,car,140.0
1110,408,44,car,920.0
1111,409,43,car,140.0
1112,409,44,car,1000.0
1113,410,43,car,140.0
1114,410,44,car,1060.0
1115,410,61,car,280.0
1116,411,43,car,160.0
1117,411,61,car,300.0
1118,412,43,car,160.0
1119,412,61,car,320.0
1120,413,43,car,160.0
1121,413,61,car,260.0
1122,414,43,car,200.0
1123,414,61,car,260.0
1124,415,43,car,180.0
1125,415,61,car,280.0
1126,416,43,car,180.0
1127,416,61,car,260.0
1128,417,43,car,220.0
1129,417,61,car,240.0
1130,418,43,car,220.0
1131,418,61,car,240.0
